web_scraper_order,web_scraper_start_url,Nom,Prix,Adresse,Image_lien
"1767365131-1","https://sn.coinafrique.com/categorie/chiens?page=11","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png"
"1767365131-2","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Dalmatiens","450 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1767365131-3","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1387279_uploaded_image1_1577244796.5.png"
"1767365131-4","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Shih-Tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1381280_uploaded_image1_1577118817.92.png"
"1767365131-5","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Pitbull","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png"
"1767365131-6","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1279844_uploaded_image1_1575227437.45.png"
"1767365131-7","https://sn.coinafrique.com/categorie/chiens?page=11","Bichon maltais","170 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1208713_uploaded_image1_1573923517.79.png"
"1767365131-8","https://sn.coinafrique.com/categorie/chiens?page=11","Bergers - labrador - pitbull - rottweiler","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1184876_uploaded_image1_1573492032.86.png"
"1767365131-9","https://sn.coinafrique.com/categorie/chiens?page=11","Bichons malté","180 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png"
"1767365131-10","https://sn.coinafrique.com/categorie/chiens?page=11","Berger blanc","200 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png"
"1767365131-11","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand de race pure","125 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1767365131-12","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull","90 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png"
"1767365131-13","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png"
"1767365131-14","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Rottweiler","375 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1767365131-15","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot berger allemand","200 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
"1767365131-16","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot akita américain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png"
"1767365131-17","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots","350 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png"
"1767365131-18","https://sn.coinafrique.com/categorie/chiens?page=11","Boerboel femelle","400 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png"
"1767365131-19","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Cane Corso","800 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png"
"1767365131-20","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull black nose","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png"
"1767365131-21","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png"
