web_scraper_order,web_scraper_start_url,Nom,Prix,Adresse,Image_lien
"1767366254-1","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","450 000CFA","Sénégal","https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png"
"1767366254-2","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Sénégal","https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png"
"1767366254-3","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","100 000CFA","Sénégal","https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png"
"1767366254-4","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Sénégal","https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png"
"1767366254-5","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png"
"1767366254-6","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png"
"1767366254-7","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png"
"1767366254-8","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Sénégal","https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png"
"1767366254-9","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","650 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_808861_uploaded_image1_1564856185.45.png"
"1767366254-10","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_808847_uploaded_image1_1564855996.2.png"
"1767366254-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_808844_uploaded_image1_1564855896.73.png"
"1767366254-12","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de race","350 000CFA","Sénégal","https://images.coinafrique.com/thumb_806719_uploaded_image1_1564781347.58.png"
"1767366254-13","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","400 000CFA","Sénégal","https://images.coinafrique.com/thumb_806646_uploaded_image1_1564777404.89.png"
"1767366254-14","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_805188_uploaded_image1_1564750708.3.png"
"1767366254-15","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_804227_uploaded_image1_1564738205.66.png"
"1767366254-16","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_803088_uploaded_image1_1564684268.56.png"
"1767366254-17","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799765_uploaded_image1_1564597010.71.png"
"1767366254-18","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","225 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799761_uploaded_image1_1564596876.58.png"
"1767366254-19","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Azawat","175 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_798367_uploaded_image1_1564573411.3.png"
"1767366254-20","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_786617_uploaded_image1_1564216906.07.png"
"1767366254-21","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de Tabaski","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_785715_uploaded_image1_1564176313.33.png"
"1767366254-22","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_785089_uploaded_image1_1564159860.27.png"
"1767366254-23","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_784942_uploaded_image1_1564157496.5.png"
"1767366254-24","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","200 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_784546_uploaded_image1_1564151388.91.png"
"1767366254-25","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774363_uploaded_image1_1563912507.32.png"
"1767366254-26","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton - Bélier","220 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_774349_uploaded_image1_1563912073.63.png"
"1767366254-27","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","950 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_932560_uploaded_image1_1568203329.3.jpg"
"1767366254-28","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_769625_uploaded_image1_1563810689.31.png"
"1767366254-29","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_769623_uploaded_image1_1563810688.43.png"
"1767366254-30","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_766916_uploaded_image1_1563732550.35.png"
"1767366254-31","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Sénégal","https://images.coinafrique.com/thumb_766905_uploaded_image1_1563732059.09.png"
"1767366254-32","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_766836_uploaded_image1_1563729305.46.png"
"1767366254-33","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_766814_uploaded_image1_1563728621.09.png"
"1767366254-34","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","420 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_766491_uploaded_image1_1563713033.52.png"
"1767366254-35","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","450 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_765218_uploaded_image1_1563649515.86.png"
"1767366254-36","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Malaw","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_761777_uploaded_image1_1563546210.72.png"
"1767366254-37","https://sn.coinafrique.com/categorie/moutons?page=16","Ladoum mâle et femelle","800 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_932546_uploaded_image1_1568203274.06.jpg"
"1767366254-38","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_754311_uploaded_image1_1563375993.83.png"
"1767366254-39","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754270_uploaded_image1_1563375178.15.png"
"1767366254-40","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754269_uploaded_image1_1563375078.76.png"
"1767366254-41","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","140 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754261_uploaded_image1_1563374953.78.png"
"1767366254-42","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton gris noir","150 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754257_uploaded_image1_1563374819.0.png"
"1767366254-43","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_754242_uploaded_image1_1563374558.14.png"
"1767366254-44","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_752727_uploaded_image2_1563357212.02.png"
"1767366254-45","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_752719_uploaded_image1_1563357011.76.png"
"1767366254-46","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_751785_uploaded_image1_1563314576.98.png"
"1767366254-47","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220CFA","Sénégal","https://images.coinafrique.com/thumb_751740_uploaded_image1_1563313372.96.png"
"1767366254-48","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","25 000CFA","Sénégal","https://images.coinafrique.com/thumb_743301_uploaded_image1_1563049123.51.png"
"1767366254-49","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","260 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1767366254-50","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","160 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743068_uploaded_image1_1563041352.73.png"
"1767366254-51","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","160 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743067_uploaded_image1_1563041352.31.png"
"1767366254-52","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png"
"1767366254-53","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743065_uploaded_image1_1563041220.15.png"
"1767366254-54","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","Sénégal","https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png"
"1767366254-55","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","190 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png"
"1767366254-56","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","250 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_725090_uploaded_image1_1562603963.91.png"
"1767366254-57","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","Koussanar, Sénégal","https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png"
"1767366254-58","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_723681_uploaded_image1_1562583405.41.png"
