web_scraper_order,web_scraper_start_url,lien_detail,Details,Prix,Adresse,Image_lien
"1767367796-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png"
"1767367798-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","On livre partout à Dakar .

Juste vous payer le prix de votre poulet et la livraison est faite .","3 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png"
"1767367801-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png"
"1767367804-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Un couple géant des Flandre issu d'un mâle fauve géant des flandre pur sang importé et tatoué.","70 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png"
"1767367807-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Couple de lapins demi sang géants des Flandres, disponible","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png"
"1767367810-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Meilleure qualité poulet de chair poids 2.kg à seulement 2000","2 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png"
"1767367813-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Bonjour je vends des coqs et poussins de Brahmane pur sang","5 000 CFA","Thies Ouest, Thiès, Sénégal","https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png"
"1767367815-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961","Lapin de Race Buchka Pur sang","7 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png"
"1767367818-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Disponibles.","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png"
"1767367820-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","","800 CFA","Sénégal","https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png"
"1767367823-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099","Femelle GDF 4 mois à vendre","70 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png"
"1767367826-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312","","10 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png"
"1767367829-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-885789","","2 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png"
"1767367832-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-et-poussins-886578","Nous mettons à votre disposition des volailles de race de hollande

- Origine hollandaise

- Poids adulte : coq : 3,5 à 4 kg ; poule : 2,7 à 3,2 kg

Nous faisons la couvaison des œufs importés et mettons en vente les poussins à raison de 800 F CFA l’unité.","800 CFA","Sénégal","https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png"
"1767367834-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-886584","","2 500 CFA","Sénégal","https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png"
"1767367838-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-899472","Coq cochin bleu de 6 mois à vendre","30 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png"
"1767367840-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-899477","Couple bantam de 3 semaines à vendre","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png"
"1767367843-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487","Barahmane de 4 mois à vendre.","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png"
"1767367860-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle cochin bleu en production et race pure à vendre","30 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png"
"1767367863-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Venez commander de bons poulets à bon prix","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png"
"1767367866-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins de moins de 2 semaines","8 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png"
"1767367868-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bon prix .","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png"
"1767367873-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Je vends des paires de paons à des prix très abordables. 

Si vous êtes intéressés, contactez moi.","30 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png"
"1767367880-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Capables de couver ses œufs et d'élever ses poussins","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png"
"1767367883-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","Capables de couver ses œufs comme les poules de la basse cour","15 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png"
